PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Huber, Wolfgang; Carey, Vincent J.; Gentleman, Robert; Anders, Simon; Carlson, Marc; Carvalho, Benilton S.; Bravo, Hector Corrada; Davis, Sean; Gatto, Laurent; Girke, Thomas; Gottardo, Raphael; Hahne, Florian; Hansen, Kasper D.; Irizarry, Rafael A.; Lawrence, Michael; Love, Michael I.; MacDonald, James; Obenchain, Valerie; Oles, Andrzej K.; Pages, Herve; Reyes, Alejandro; Shannon, Paul; Smyth, Gordon K.; Tenenbaum, Dan; Waldron, Levi; Morgan, Martin								Orchestrating high-throughput genomic analysis with Bioconductor								NATURE METHODS				12	2			115	121		10.1038/NMETH.3252			FEB 2015	2015										867							WOS:000348862500011		
J	Anders, Simon; Reyes, Alejandro; Huber, Wolfgang								Detecting differential usage of exons from RNA-seq data								GENOME RESEARCH				22	10			2008	2017		10.1101/gr.133744.111			OCT 2012	2012										521							WOS:000309325900017		
J	Cabezas-Wallscheid, Nina; Klimmeck, Daniel; Hansson, Jenny; Lipka, Daniel B.; Reyes, Alejandro; Wang, Qi; Weichenhan, Dieter; Lier, Amelie; von Paleske, Lisa; Renders, Simon; Wuensche, Peer; Zeisberger, Petra; Brocks, David; Gu, Lei; Herrmann, Carl; Haas, Simon; Essers, Marieke A. G.; Brors, Benedikt; Eils, Roland; Huber, Wolfgang; Milsom, Michael D.; Plass, Christoph; Krijgsveld, Jeroen; Trumpp, Andreas								Identification of Regulatory Networks in HSCs and Their Immediate Progeny via Integrated Proteome, Transcriptome, and DNA Methylome Analysis								CELL STEM CELL				15	4			507	522		10.1016/j.stem.2014.07.005			OCT 2 2014	2014										195							WOS:000343235800016		
J	Zarnack, Kathi; Koenig, Julian; Tajnik, Mojca; Martincorena, Inigo; Eustermann, Sebastian; Stevant, Isabelle; Reyes, Alejandro; Anders, Simon; Luscombe, Nicholas M.; Ule, Jernej								Direct Competition between hnRNP C and U2AF65 Protects the Transcriptome from the Exonization of Alu Elements								CELL				152	3			453	466		10.1016/j.cell.2012.12.023			JAN 31 2013	2013										184							WOS:000314362800016		
J	Olender, Tsviya; Waszak, Sebastian M.; Viavant, Maya; Khen, Miriam; Ben-Asher, Edna; Reyes, Alejandro; Nativ, Noam; Wysocki, Charles J.; Ge, Dongliang; Lancet, Doron								Personal receptor repertoires: olfaction as a model								BMC GENOMICS				13						414	10.1186/1471-2164-13-414			AUG 21 2012	2012										45							WOS:000309413400001		
J	Scognamiglio, Roberta; Cabezas-Wallscheid, Nina; Thier, Marc Christian; Altamura, Sandro; Reyes, Alejandro; Prendergast, Aine M.; Baumgaertner, Daniel; Carnevalli, Larissa S.; Atzberger, Ann; Haas, Simon; von Paleske, Lisa; Boroviak, Thorsten; Woersdoerfer, Philipp; Essers, Marieke A. G.; Kloz, Ulrich; Eisenman, Robert N.; Edenhofer, Frank; Bertone, Paul; Huber, Wolfgang; van der Hoeven, Franciscus; Smith, Austin; Trumpp, Andreas								Myc Depletion Induces a Pluripotent Dormant State Mimicking Diapause								CELL				164	4			668	680		10.1016/j.cell.2015.12.033			FEB 11 2016	2016										80							WOS:000369998300013		
J	Brennecke, Philip; Reyes, Alejandro; Pinto, Sheena; Rattay, Kristin; Nguyen, Michelle; Kuechlert, Rita; Huber, Wolfgang; Kyewski, Bruno; Steinmetz, Lars M.								Single-cell transcriptome analysis reveals coordinated ectopic gene-expression patterns in medullary thymic epithelial cells								NATURE IMMUNOLOGY				16	9			933	941		10.1038/ni.3246			SEP 2015	2015										52							WOS:000359876900011		
J	Ruiz-Velasco, Mariana; Kumar, Manjeet; Lai, Mang Ching; Bhat, Pooja; Solis-Pinson, Ana Belen; Reyes, Alejandro; Kleinsorg, Stefan; Noh, Kyung-Min; Gibson, Toby J.; Zaugg, Judith B.								CTCF-Mediated Chromatin Loops between Promoter and Gene Body Regulate Alternative Splicing across Individuals								CELL SYSTEMS				5	6			628	+		10.1016/j.cels.2017.10.018			DEC 27 2017	2017										11							WOS:000418800600013		
J	Reyes, Alejandro; Anders, Simon; Weatheritt, Robert J.; Gibson, Toby J.; Steinmetz, Lars M.; Huber, Wolfgang								Drift and conservation of differential exon usage across tissues in primate species								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				110	38			15377	15382		10.1073/pnas.1307202110			SEP 17 2013	2013										37							WOS:000324495300058		
J	Reyes, Alejandro; Huber, Wolfgang								Alternative start and termination sites of transcription drive most transcript isoform differences across human tissues								NUCLEIC ACIDS RESEARCH				46	2			582	592		10.1093/nar/gkx1165			JAN 25 2018	2018										29							WOS:000423812300014		
