PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Ijichi, Chiori; Wakabayashi, Hidehiko; Sugiyama, Shingo; Ihara, Yusuke; Nogi, Yasuko; Nagashima, Ayumi; Ihara, Sayoko; Niimura, Yoshihito; Shimizu, Yuya; Kondo, Kenji; Touhara, Kazushige								Metabolism of Odorant Molecules in Human Nasal/Oral Cavity Affects the Odorant Perception								CHEMICAL SENSES				44	7			465	481		10.1093/chemse/bjz041			SEP 2019	2019										0							WOS:000493389500328		
J	Trimmer, C.; Keller, A.; Murphy, N. R.; Snyder, L. L.; Willer, J. R.; Nagai, M. H.; Katsanis, N.; Vosshall, L. B.; Matsunami, H.; Mainland, J. D.								Genetic variation across the human olfactory receptor repertoire alters odor perception								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				116	19			9475	9480		10.1073/pnas.1804106115			MAY 7 2019	2019										5							WOS:000467226400048		
J	Precone, V.; Beccari, T.; Stuppia, L.; Baglivo, M.; Paolacci, S.; Manara, E.; Miggiano, G. A. D.; Falsini, B.; Trifiro, A.; Zanlari, A.; Herbst, K. L.; Unfer, V.; Bertelli, M.		GENEOB Project						Taste, olfactory and texture related genes and food choices: implications on health status								EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES				23	3			1305	1321					FEB 2019	2019										1							WOS:000459178100049		
J	Dalton, Pamela; Maute, Christopher								Odours and incontinence: What does the nose know?								PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE				233	1			127	134		10.1177/0954411918781409			JAN 2019	2019										0							WOS:000456400400013		
J	Niimura, Yoshihito; Matsui, Atsushi; Touhara, Kazushige								Acceleration of Olfactory Receptor Gene Loss in Primate Evolution: Possible Link to Anatomical Change in Sensory Systems and Dietary Transition								MOLECULAR BIOLOGY AND EVOLUTION				35	6			1437	1450		10.1093/molbev/msy042			JUN 2018	2018										8							WOS:000441140000019		
J	Connor, Erin E.; Zhou, Yang; Liu, George E.								The essence of appetite: does olfactory receptor variation play a role?								JOURNAL OF ANIMAL SCIENCE				96	4			1551	1558		10.1093/jas/sky068			APR 2018	2018										1							WOS:000430344400032		
J	Hofmann, Thomas; Krautwurst, Dietmar; Schieberle, Peter								Current Status and Future Perspectives in Flavor Research: Highlights of the 11th Wartburg Symposium on Flavor Chemistry & Biology								JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY				66	10			2197	2203		10.1021/acs.jafc.7b06144			MAR 14 2018	2018										9							WOS:000427910500001		
J	Fjaeldstad, A.; Petersen, M. A.; Ovesen, T.								Considering Chemical Resemblance: a Possible Confounder in Olfactory Identification Tests								CHEMOSENSORY PERCEPTION				10	1-2			42	48		10.1007/s12078-017-9226-6			JUN 2017	2017										2							WOS:000404552700006		
J	Geithe, Christiane; Noe, Franziska; Kreissl, Johanna; Krautwurst, Dietmar								The Broadly Tuned Odorant Receptor OR1A1 is Highly Selective for 3-Methyl-2,4-nonanedione, a Key Food Odorant in Aged Wines, Tea, and Other Foods								CHEMICAL SENSES				42	3			181	193		10.1093/chemse/bjw117			MAR 2017	2017										15							WOS:000397066100002		
J	Noe, Franziska; Polster, Johannes; Geithe, Christiane; Kotthoff, Matthias; Schieberle, Peter; Krautwurst, Dietmar								OR2M3: A Highly Specific and Narrowly Tuned Human Odorant Receptor for the Sensitive Detection of Onion Key Food Odorant 3-Mercapto-2-methylpentan-1-ol								CHEMICAL SENSES				42	3			195	210		10.1093/chemse/bjw118			MAR 2017	2017										12							WOS:000397066100003		
J	Kawamura, Shoji; Melin, Amanda D.								Evolution of Genes for Color Vision and the Chemical Senses in Primates								Evolutionary Studies				1				181	216		10.1007/978-4-431-56603-8_10			2017	2017										5							WOS:000444996800011		
J	Galibert, Francis; Azzouzi, Naoual; Quignon, Pascale; Chaudieu, Gilles								The genetics of canine olfaction								JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH				16				86	93		10.1016/j.jveb.2016.06.012			NOV-DEC 2016	2016										1							WOS:000390635900012		
J	Marenco, Luis; Wang, Rixin; McDougal, Robert; Olender, Tsviya; Twik, Michal; Bruford, Elspeth; Liu, Xinyi; Zhang, Jian; Lancet, Doron; Shepherd, Gordon; Crasto, Chiquito								ORDB, HORDE, ODORactor and other on-line knowledge resources of olfactory receptor-odorant interactions								DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION										baw132	10.1093/database/baw132			OCT 2 2016	2016										2							WOS:000386640100001		
J	Keller, Andreas; Vosshall, Leslie B.								Olfactory perception of chemically diverse molecules								BMC NEUROSCIENCE				17						55	10.1186/s12868-016-0287-2			AUG 8 2016	2016										32							WOS:000381829800001		
J	Molnar, Janos; Szakacs, Gergely; Tusnady, Gabor E.								Characterization of Disease-Associated Mutations in Human Transmembrane Proteins								PLOS ONE				11	3					e0151760	10.1371/journal.pone.0151760			MAR 17 2016	2016										11							WOS:000372580300125		
J	Silva Teixeira, Carla S.; Cerqueira, Nuno M. F. S. A.; Silva Ferreira, Antonio C.								Unravelling the Olfactory Sense: From the Gene to Odor Perception								CHEMICAL SENSES				41	2			105	121		10.1093/chemse/bjv075			FEB 2016	2016										21							WOS:000370132400002		
J	Running, Cordelia A.; Hayes, John E.								Individual Differences in Multisensory Flavor Perception								Woodhead Publishing Series in Food Science Technology and Nutrition				298				185	210		10.1016/B978-0-08-100350-3.00010-9			2016	2016										3							WOS:000402293000011		
J	Fjaeldstad, Alexander; van Hartevelt, Tim J.; Kringelbach, Morten L.								Pleasure of Food in the Brain								Woodhead Publishing Series in Food Science Technology and Nutrition				298				211	234		10.1016/B978-0-08-100350-3.00011-0			2016	2016										4							WOS:000402293000012		
J	Choong, Wai-Kok; Chang, Hui-Yin; Chen, Ching-Tai; Tsai, Chia-Feng; Hsu, Wen-Lian; Chen, Yu-Ju; Sung, Ting-Yi								Informatics View on the Challenges of Identifying Missing Proteins from Shotgun Proteomics								JOURNAL OF PROTEOME RESEARCH				14	12			5396	5407		10.1021/acs.jproteome.5b00482			DEC 2015	2015										10							WOS:000366151800043		
J	Geithe, Christiane; Andersen, Gaby; Malki, Agne; Krautwurst, Dietmar								A Butter Aroma Recombinate Activates Human Class-I Odorant Receptors								JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY				63	43			9410	9420		10.1021/acs.jafc.5b01884			NOV 4 2015	2015						1st ACS-AGFD and ACSThailand Chapter Joint Symposium	MAR 04-05, 2014		Bangkok, THAILAND	15							WOS:000364355700005		
J	Jiang, Yue; Matsunami, Hiroaki								Mammalian odorant receptors: functional evolution and variation								CURRENT OPINION IN NEUROBIOLOGY				34				54	60		10.1016/j.conb.2015.01.014			OCT 2015	2015										17							WOS:000362139300009		
J	Gilbert, Jessica L.; Guthart, Matthew J.; Gezan, Salvador A.; de Carvalho, Melissa Pisaroglo; Schwieterman, Michael L.; Colquhoun, Thomas A.; Bartoshuk, Linda M.; Sims, Charles A.; Clark, David G.; Olmstead, James W.								Identifying Breeding Priorities for Blueberry Flavor Using Biochemical, Sensory, and Genotype by Environment Analyses								PLOS ONE				10	9					e0138494	10.1371/journal.pone.0138494			SEP 17 2015	2015										15							WOS:000361769400106		
J	Hoover, Kara C.; Gokcumen, Omer; Qureshy, Zoya; Bruguera, Elise; Savangsuksa, Aulaphan; Cobb, Matthew; Matsunami, Hiroaki								Global Survey of Variation in a Human Olfactory Receptor Gene Reveals Signatures of Non-Neutral Evolution								CHEMICAL SENSES				40	7			481	488		10.1093/chemse/bjv030			SEP 2015	2015										6							WOS:000361528400005		
