PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Chakrabarti, Manohar; de Lorenzo, Laura; Abdel-Ghany, Salah E.; Reddy, Anireddy S. N.; Hunt, Arthur G.								Wide-ranging transcriptome remodelling mediated by alternative polyadenylation in response to abiotic stresses in Sorghum								PLANT JOURNAL											10.1111/tpj.14671				2020										0							WOS:000509725600001		
J	Parker, Matthew T.; Knop, Katarzyna; Sherwood, Anna, V; Schurch, Nicholas J.; Mackinnon, Katarzyna; Gould, Peter D.; Hall, Anthony J. W.; Barton, Geoffrey J.; Simpson, Gordon G.								Nanopore direct RNA sequencing maps the complexity of Arabidopsis mRNA processing and m(6)A modification								ELIFE				9						e49658	10.7554/eLife.49658			JAN 14 2020	2020										0							WOS:000507301300001		
J	Thorpe, P.; Escudero-Martinez, C. M.; Eves-van den Akker, S.; Bos, J. I. B.								Transcriptional changes in the aphid species Myzus cerasi under different host and environmental conditions								INSECT MOLECULAR BIOLOGY											10.1111/imb.12631				2020										0							WOS:000506677800001		
J	LaBella, Matthew L.; Hujber, Edward J.; Moore, Kristin A.; Rawson, Randi L.; Merrill, Sean A.; Allaire, Patrick D.; Ailion, Michael; Hollien, Julie; Bastiani, Michael J.; Jorgensen, Erik M.								Casein Kinase 1 delta Stabilizes Mature Axons by Inhibiting Transcription Termination of Ankyrin								DEVELOPMENTAL CELL				52	1			88	+		10.1016/j.devcel.2019.12.005			JAN 6 2020	2020										1							WOS:000505773000010		
J	Li, Ying; Brooks, Matthew; Yeoh-Wang, Jenny; McCoy, Rachel M.; Rock, Tara M.; Pasquino, Angelo; Moon, Chang In; Patrick, Ryan M.; Tanurdzic, Milos; Ruffel, Sandrine; Widhalm, Joshua R.; McCombie, W. Richard; Coruzzi, Gloria M.								SDG8-Mediated Histone Methylation and RNA Processing Function in the Response to Nitrate Signaling								PLANT PHYSIOLOGY				182	1			215	227		10.1104/pp.19.00682			JAN 2020	2020										1							WOS:000508968100018		
J	Price, Amanda J.; Hwang, Taeyoung; Tao, Ran; Burke, Emily E.; Rajpurohit, Anandita; Shin, Joo Heon; Hyde, Thomas M.; Kleinman, Joel E.; Jaffe, Andrew E.; Weinberger, Daniel R.								Characterizing the nuclear and cytoplasmic transcriptomes in developing and mature human cortex uncovers new insight into psychiatric disease gene regulation								GENOME RESEARCH				30	1			1	11		10.1101/gr.250217.119			JAN 2020	2020										0							WOS:000506573000001		
J	Terhal, Paulien A.; Vlaar, Judith M.; Middelkamp, Sjors; Nievelstein, Rutger A. J.; Nikkels, Peter G. J.; Ross, Jamila; Creton, Marijn; Bos, Jeroen W.; Voskuil-Kerkhof, Elsbeth S. M.; Cuppen, Edwin; Knoers, Nine; van Gassen, Koen L., I								Biallelic variants in POLR3GL cause endosteal hyperostosis and oligodontia								EUROPEAN JOURNAL OF HUMAN GENETICS				28	1			31	39		10.1038/s41431-019-0427-0			JAN 2020	2020										0							WOS:000502538900006		
J	Gorczak, Katarzyna; Claesen, Jurgen; Burzykowski, Tomasz								A Conceptual Framework for Abundance Estimation of Genomic Targets in the Presence of Ambiguous Short Sequencing Reads								JOURNAL OF COMPUTATIONAL BIOLOGY											10.1089/cmb.2019.0272				2019										0							WOS:000505209900001		
J	Nguyen, Hai; Das, Urmi; Xie, Jiuyong								Genome-wide evolution of wobble base-pairing nucleotides of branchpoint motifs with increasing organismal complexity								RNA BIOLOGY				17	3			311	324		10.1080/15476286.2019.1697548			MAR 3 2020	2020										0							WOS:000503610700001		
J	Wheeler, Jeanna M.; McMillan, Pamela; Strovas, Timothy J.; Liachko, Nicole F.; Amlie-Wolf, Alexandre; Kow, Rebecca L.; Klein, Ronald L.; Szot, Patricia; Robinson, Linda; Guthrie, Chris; Saxton, Aleen; Kanaan, Nicholas M.; Raskind, Murray; Peskind, Elaine; Trojanowski, John Q.; Lee, Virginia M. Y.; Wang, Li-San; Keene, C. Dirk; Bird, Thomas; Schellenberg, Gerard D.; Kraemer, Brian								Activity of the poly(A) binding protein MSUT2 determines susceptibility to pathological tau in the mammalian brain								SCIENCE TRANSLATIONAL MEDICINE				11	523					eaao6545	10.1126/scitranslmed.aao6545			DEC 18 2019	2019										0							WOS:000503405100001		
J	Dou, Fangfang; Wu, Beiling; Sun, Lin; Chen, Jiulin; Liu, Te; Yu, Zhihua; Chen, Chuan								Identification of a novel regulatory pathway for PPAR alpha by RNA-seq characterization of the endothelial cell lipid peroxidative injury transcriptome								OPEN BIOLOGY				9	12					190141	10.1098/rsob.190141			DEC 18 2019	2019										0							WOS:000503269300004		
J	Zhang, Jiting; Deng, Yulan; Zuo, Yuanli; Wang, Jin; Zhao, Yun								Analysis of Colorectal Cancer-Associated Alternative Splicing Based on Transcriptome								DNA AND CELL BIOLOGY				39	1			16	24		10.1089/dna.2019.5111			JAN 1 2020	2020										0							WOS:000504865300001		
J	Santhakumar, Diwakar; Rohaim, Mohammed A.; Munir, Muhammad								Genome-Wide Classification of Type I, Type II and Type III Interferon-Stimulated Genes in Chicken Fibroblasts								VACCINES				7	4					160	10.3390/vaccines7040160			DEC 2019	2019										0							WOS:000505709700017		
J	Li, Ming-Li; Wu, Shi-Hao; Zhang, Jin-Jin; Tian, Hang-Yu; Shao, Yong; Wang, Zheng-Bo; Irwin, David M.; Li, Jia-Li; Hu, Xin-Tian; Wu, Dong-Dong								547 transcriptomes from 44 brain areas reveal features of the aging brain in non-human primates								GENOME BIOLOGY				20	1					258	10.1186/s13059-019-1866-1			NOV 28 2019	2019										0							WOS:000499993000005		
J	Lindholm, Anna; Sutter, Andreas; Kuenzel, Sven; Tautz, Diethard; Rehrauer, Hubert								Effects of a male meiotic driver on male and female transcriptomes in the house mouse								PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES				286	1915					20191927	10.1098/rspb.2019.1927			NOV 20 2019	2019										1							WOS:000504858800007		
J	Wood, Katherine A.; Rowlands, Charlie F.; Qureshi, Wasay Mohiuddin Shaikh; Thomas, Huw B.; Buczek, Weronika A.; Briggs, Tracy A.; Hubbard, Simon J.; Hentges, Kathryn E.; Newman, William G.; O'Keefe, Raymond T.								Disease modeling of core pre-mRNA splicing factor haploinsufficiency								HUMAN MOLECULAR GENETICS				28	22			3704	3723		10.1093/hmg/ddz169			NOV 15 2019	2019										0							WOS:000506824300002		
J	Saini, Harleen; Bicknell, Alicia A.; Eddy, Sean R.; Moore, Melissa J.								Free circular introns with an unusual branchpoint in neuronal projections								ELIFE				8						e47809	10.7554/eLife.47809			NOV 7 2019	2019										0							WOS:000499714000001		
J	Radzisheuskaya, Aliaksandra; Shliaha, Pavel V.; Grinev, Vasily; Lorenzini, Eugenia; Kovalchuk, Sergey; Shlyueva, Daria; Gorshkov, Vladimir; Hendrickson, Ronald C.; Jensen, Ole N.; Helin, Kristian								PRMT5 methylome profiling uncovers a direct link to splicing regulation in acute myeloid leukemia								NATURE STRUCTURAL & MOLECULAR BIOLOGY				26	11			999	+		10.1038/s41594-019-0313-z			NOV 2019	2019										0							WOS:000495893200004		
J	Baquero-Perez, Belinda; Antanaviciute, Agne; Yonchev, Ivaylo D.; Carr, Ian M.; Wilson, Stuart A.; Whitehouse, Adrian								The Tudor SND1 protein is an m(6)A RNA reader essential for replication of Kaposi's sarcoma-associated herpesvirus								ELIFE				8						e47261	10.7554/eLife.47261			OCT 24 2019	2019										1							WOS:000492829800001		
J	Thodberg, Malte; Thieffry, Axel; Vitting-Seerup, Kristoffer; Andersson, Robin; Sandelin, Albin								CAGEfightR: analysis of 5 '-end data using R/Bioconductor								BMC BIOINFORMATICS				20	1					487	10.1186/s12859-019-3029-5			OCT 4 2019	2019										0							WOS:000488958900001		
J	Zatreanu, Diana; Han, Zhong; Mitter, Richard; Tumini, Emanuela; Williams, Hannah; Gregersen, Lea; Dirac-Svejstrup, A. Barbara; Roma, Stefania; Stewart, Aengus; Aguilera, Andres; Svejstrup, Jesper Q.								Elongation Factor TFIIS Prevents Transcription Stress and R-Loop Accumulation to Maintain Genome Stability								MOLECULAR CELL				76	1			57	+		10.1016/j.molcel.2019.07.037			OCT 3 2019	2019										0							WOS:000488956800008		
J	Story, Benjamin; Ma, Xing; Ishihara, Kazue; Li, Hua; Hall, Kathryn; Peak, Allison; Anoja, Perera; Park, Jungeun; Haug, Jeff; Blanchette, Marco; Xie, Ting								Defining the expression of piRNA and transposable elements in Drosophila ovarian germline stem cells and somatic support cells								LIFE SCIENCE ALLIANCE				2	5					e201800211	10.26508/lsa.201800211			OCT 2019	2019										0							WOS:000494674100001		
J	Kushwaha, Sandeep Kumar; Grimberg, Asa; Carlsson, Anders S.; Hofvander, Per								Charting oat (Avena sativa) embryo and endosperm transcription factor expression reveals differential expression of potential importance for seed development								MOLECULAR GENETICS AND GENOMICS				294	5			1183	1197		10.1007/s00438-019-01571-x			OCT 2019	2019										0							WOS:000492596900007		
J	Miller, Karl N.; Clark, Josef P.; Martin, Stephen A.; Howell, Porsha R.; Burhans, Maggie S.; Haws, Spencer A.; Johnson, Nathan B.; Rhoads, Timothy W.; Pavelec, Derek M.; Eliceiri, Kevin W.; Roopra, Avtar S.; Ntambi, James M.; Denu, John M.; Parks, Brian W.; Anderson, Rozalyn M.								PGC-1a integrates a metabolism and growth network linked to caloric restriction								AGING CELL				18	5					UNSP e12999	10.1111/acel.12999			OCT 2019	2019										0							WOS:000483691100019		
J	Grant, Adam D.; Vail, Paris; Padi, Megha; Witkiewicz, Agnieszka K.; Knudsen, Erik S.								Interrogating Mutant Allele Expression via Customized Reference Genomes to Define Influential Cancer Mutations								SCIENTIFIC REPORTS				9						12766	10.1038/s41598-019-48967-8			SEP 4 2019	2019										0							WOS:000483703800035		
J	Tellez-Robledo, Barbara; Manzano, Concepcion; Saez, Angela; Navarro-Neila, Sara; Silva-Navas, Javier; de Lorenzo, Laura; Gonzalez-Garcia, Mary-Paz; Toribio, Rene; Hunt, Arthur G.; Baigorri, Roberto; Casimiro, Ilda; Brady, Siobhan M.; Mar Castellano, M.; Carlos del Pozo, J.								The polyadenylation factor FIP1 is important for plant development and root responses to abiotic stresses								PLANT JOURNAL				99	6			1203	1219		10.1111/tpj.14416			SEP 2019	2019										2							WOS:000485980600013		
J	Manavalan, Anil Paul Chirackal; Pilarova, Kveta; Kluge, Michael; Bartholomeeusen, Koen; Rajecky, Michal; Oppelt, Jan; Khirsariya, Prashant; Paruch, Kamil; Krejci, Lumir; Friedel, Caroline C.; Blazek, Dalibor								CDK12 controls G1/S progression by regulating RNAPII processivity at core DNA replication genes								EMBO REPORTS				20	9					e47592				SEP 2019	2019										0							WOS:000486091900003		
J	Licht, Konstantin; Kapoor, Utkarsh; Amman, Fabian; Picardi, Ernesto; Martin, David; Bajad, Prajakta; Jantsch, Michael F.								A high resolution A-to-I editing map in the mouse identifies editing events controlled by pre-mRNA splicing								GENOME RESEARCH				29	9			1453	1463		10.1101/gr.242636.118			SEP 2019	2019										1							WOS:000484362700007		
J	Nazarie, Fahmi W.; Shih, Barbara; Angus, Tim; Barnett, Mark W.; Chen, Sz-Hau; Summers, Kim M.; Klein, Karsten; Faulkner, Geoffrey J.; Saini, Harpreet K.; Watson, Mick; van Dongen, Stijn; Enright, Anton J.; Freeman, Tom C.								Visualization and analysis of RNA-Seq assembly graphs								NUCLEIC ACIDS RESEARCH				47	14			7262	7275		10.1093/nar/gkz599			AUG 22 2019	2019										0							WOS:000483815100015		
J	Gunady, Mohamed K.; Mount, Stephen M.; Bravo, Hector Corrada								Yanagi: Fast and interpretable segment-based alternative splicing and gene expression analysis								BMC BIOINFORMATICS				20	1					421	10.1186/s12859-019-2947-6			AUG 13 2019	2019										0							WOS:000481458500001		
J	Esteban Hernando, Carlos; Garcia Hourquet, Mariano; Jose de Leone, Maria; Careno, Daniel; Iserte, Javier; Mora Garcia, Santiago; Javier Yanovsky, Marcelo								A Role for Pre-mRNA-PROCESSING PROTEIN 40C in the Control of Growth, Development, and Stress Tolerance in Arabidopsis thaliana								FRONTIERS IN PLANT SCIENCE				10						1019	10.3389/fpls.2019.01019			AUG 13 2019	2019										0							WOS:000480522600001		
J	Marshall, Hollie; Lonsdale, Zoe N.; Mallon, Eamonn B.								Methylation and gene expression differences between reproductive and sterile bumblebee workers								EVOLUTION LETTERS				3	5			485	499		10.1002/evl3.129			OCT 2019	2019										0							WOS:000478983300001		
J	Zhao, Yun; Li, Chunjin; Zhou, Xu								Transcriptomic Analysis of Porcine Granulosa Cells Overexpressing Retinol Binding Protein 4								GENES				10	8					615	10.3390/genes10080615			AUG 2019	2019										0							WOS:000483744500043		
J	Yeoh, Lee M.; Goodman, Christopher D.; Mollard, Vanessa; McHugh, Emma; Lee, V. Vern; Sturm, Angelika; Cozijnsen, Anton; McFadden, Geoffrey I.; Ralph, Stuart A.								Alternative splicing is required for stage differentiation in malaria parasites								GENOME BIOLOGY				20	1					151	10.1186/s13059-019-1756-6			AUG 1 2019	2019										1							WOS:000483170700001		
J	Donovan, Lauren J.; Spencer, William C.; Kitt, Meagan M.; Eastman, Brent A.; Lobur, Katherine J.; Jiao, Kexin; Silver, Jerry; Deneris, Evan S.								Lmx1b is required at multiple stages to build expansive serotonergic axon architectures								ELIFE				8						e48788	10.7554/eLife.48788			JUL 29 2019	2019										0							WOS:000479311600001		
J	Manavalan, Anil Paul Chirackal; Pilarova, Kveta; Kluge, Michael; Bartholomeeusen, Koen; Rajecky, Michal; Oppelt, Jan; Khirsariya, Prashant; Paruch, Kamil; Krejci, Lumir; Friedel, Caroline C.; Blazek, Dalibor								CDK12 controls G1/S progression by regulating RNAPII processivity at core DNA replication genes								EMBO REPORTS										e47592	10.15252/embr.201847592				2019										0							WOS:000478503100001		
J	Kazakiewicz, Denis; Claesen, Jurgen; Gorczak, Katarzyna; Plewczynski, Dariusz; Burzykowski, Tomasz								A Multivariate Negative-Binomial Model with Random Effects for Differential Gene-Expression Analysis of Correlated mRNA Sequencing Data								JOURNAL OF COMPUTATIONAL BIOLOGY				26	12			1339	1348		10.1089/cmb.2019.0168			DEC 1 2019	2019										0							WOS:000476391000001		
J	Fazal, Furqan M.; Han, Shuo; Parker, Kevin R.; Kaewsapsak, Pornchai; Xu, Jin; Boettiger, Alistair N.; Chang, Howard Y.; Ting, Alice Y.								Atlas of Subcellular RNA Localization Revealed by APEX-Seq								CELL				178	2			473	+		10.1016/j.cell.2019.05.027			JUL 11 2019	2019										10							WOS:000475357200019		
J	Koedoot, Esmee; Fokkelman, Michiel; Rogkoti, Vasiliki-Maria; Smid, Marcel; van de Sandt, Iris; de Bont, Hans; Pont, Chantal; Klip, Janna E.; Wink, Steven; Timmermans, Eke A.; Wiemer, Erik A. C.; Stoilov, Peter; Foekens, John A.; Le Devedec, Sylvia E.; Martens, John W. M.; van de Water, Bob								Uncovering the signaling landscape controlling breast cancer cell migration identifies novel metastasis driver genes								NATURE COMMUNICATIONS				10						2983	10.1038/s41467-019-11020-3			JUL 5 2019	2019										2							WOS:000474240600015		
J	Carazo, Fernando; Romero, Juan P.; Rubio, Angel								Upstream analysis of alternative splicing: a review of computational approaches to predict context-dependent splicing factors								BRIEFINGS IN BIOINFORMATICS				20	4			1358	1375		10.1093/bib/bby005			JUL 2019	2019										2							WOS:000493041400026		
J	Primus, Shekerah; Pozmanter, Caitlin; Baxter, Kelly; Van Doren, Mark								Tudor-domain containing protein 5-like promotes male sexual identity in the Drosophila germline and is repressed in females by Sex lethal								PLOS GENETICS				15	7					e1007617	10.1371/journal.pgen.1007617			JUL 2019	2019										1							WOS:000478689100001		
J	Harish, P.; Mareco, E. A.; de la Serrana, Garcia D.								A pilot study to elucidate effects of artificial selection by size on the zebrafish (Danio rerio) fast skeletal muscle transcriptome								COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY				233				65	73		10.1016/j.cbpa.2019.03.021			JUL 2019	2019						13th International Congress on the Biology of Fish (ICBF) / Growth and Metabolism of Fishes and the Muscle Growth and Development Symposia	JUL 15-19, 2018		Amer Fisheries Soc, Physiol Sect, Calgary, CANADA	1							WOS:000469151400009		
J	Singh, Tania; Colberg, Jesper K.; Sarmiento, Luis; Chaves, Patricia; Hansen, Lisbeth; Bsharat, Sara; Cataldo, Luis R.; Dudenhoffer-Pfeifer, Monika; Fex, Malin; Bryder, David; Holmberg, Dan; Sitnicka, Ewa; Cilio, Corrado; Prasad, Rashmi B.; Artner, Isabella								Loss of MafA and MafB expression promotes islet inflammation								SCIENTIFIC REPORTS				9						9074	10.1038/s41598-019-45528-x			JUN 24 2019	2019										0							WOS:000472597100002		
J	Gao, Xinlei; Fu, Yating; Ajayi, Olugbenga Emmanuel; Guo, Dongyang; Zhang, Liqin; Wu, Qingfa								Identification of genes underlying phenotypic plasticity of wing size via insulin signaling pathway by network-based analysis in Sogatella furcifera								BMC GENOMICS				20						396	10.1186/s12864-019-5793-z			MAY 21 2019	2019										0							WOS:000468781100004		
J	Moloney, Gerard M.; van Oeffelen, Wesley E. P. A.; Ryan, Feargal J.; van de Wouw, Marcel; Cowan, Caitlin; Claesson, Marcus J.; Schellekens, Harriet; Dinan, Timothy G.; Cryan, John F.								Differential gene expression in the mesocorticolimbic system of innately high- and low-impulsive rats								BEHAVIOURAL BRAIN RESEARCH				364				193	204		10.1016/j.bbr.2019.01.022			MAY 17 2019	2019										0							WOS:000463130800022		
J	Liao, Yang; Smyth, Gordon K.; Shi, Wei								The R package Rsubread is easier, faster, cheaper and better for alignment and quantification of RNA sequencing reads								NUCLEIC ACIDS RESEARCH				47	8					e47	10.1093/nar/gkz114			MAY 7 2019	2019										19							WOS:000473754300005		
J	Chen, Kun; Luan, Xiaoting; Liu, Qisha; Wang, Jianwei; Chang, Xinxia; Snijders, Antoine M.; Mao, Jian-Hua; Secombe, Julie; Dan, Zhou; Chen, Jian-Huan; Wang, Zibin; Dong, Xiao; Qiu, Chen; Chang, Xiaoai; Zhang, Dong; Celniker, Susan E.; Liu, Xingyin								Drosophila Histone Demethylase KDM5 Regulates Social Behavior through Immune Control and Gut Microbiota Maintenance								CELL HOST & MICROBE				25	4			537	+		10.1016/j.chom.2019.02.003			APR 10 2019	2019										4							WOS:000464177000011		
J	Neumann, Alexander; Schindler, Magdalena; Olofsson, Didrik; Wilhelmi, Ilka; Schuermann, Annette; Heyd, Florian								Genome-wide identification of alternative splicing events that regulate protein transport across the secretory pathway								JOURNAL OF CELL SCIENCE				132	8					UNSP jcs230201	10.1242/jcs.230201			APR 2019	2019										2							WOS:000468129600018		
J	Al-Shaer, Abrar E.; Flentke, George R.; Berres, Mark E.; Garic, Ana; Smith, Susan M.								Exon level machine learning analyses elucidate novel candidate miRNA targets in an avian model of fetal alcohol spectrum disorder								PLOS COMPUTATIONAL BIOLOGY				15	4					e1006937	10.1371/journal.pcbi.1006937			APR 2019	2019										1							WOS:000467530600052		
J	Zhou, Qian; Fu, Haihui; Yang, Dewei; Ye, Congting; Zhu, Sheng; Lin, Juncheng; Ye, Wenbin; Ji, Guoli; Ye, Xinfu; Wu, Xiaohui; Li, Qingshun Quinn								Differential alternative polyadenylation contributes to the developmental divergence between two rice subspecies, japonica and indica								PLANT JOURNAL				98	2			260	276		10.1111/tpj.14209			APR 2019	2019										2							WOS:000466782800006		
