PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Wilkinson, Adam C.; Ishida, Reiko; Nakauchi, Hiromitsu; Yamazaki, Satoshi								Long-term ex vivo expansion of mouse hematopoietic stem cells								NATURE PROTOCOLS											10.1038/s41596-019-0263-2				2020										0							WOS:000508183200002		
J	Zhang, Jing; Teh, Megan; Kim, Jamie; Eva, Megan M.; Cayrol, Romain; Meade, Rachel; Nijnik, Anastasia; Montagutelli, Xavier; Malo, Danielle; Jaubert, Jean								A Loss-of-Function Mutation in the Integrin Alpha L (Itgal) Gene Contributes to Susceptibility to Salmonella enterica Serovar Typhimurium Infection in Collaborative Cross Strain CC042								INFECTION AND IMMUNITY				88	1					e00656-19	10.1128/IAI.00656-19			JAN 2020	2020										0							WOS:000503174100020		
J	Lopez, Cecile K.; Noguera, Esteve; Stavropoulou, Vaia; Robert, Elie; Aid, Zakia; Ballerini, Paola; Bilhou-Nabera, Chrystele; Lapillonne, Helene; Boudia, Fabien; Thirant, Cecile; Fagnan, Alexandre; Arcangeli, Marie-Laure; Kinston, Sarah J.; Diop, M'Boyba; Job, Bastien; Lecluse, Yann; Brunet, Erika; Babin, Loelia; Villeval, Jean Luc; Delabesse, Eric; Peters, Antoine H. F. M.; Vainchenker, William; Gaudry, Muriel; Masetti, Riccardo; Locatelli, Franco; Malinge, Sebastien; Nerlov, Claus; Droin, Nathalie; Lobry, Camille; Godin, Isabelle; Bernard, Olivier A.; Gottgens, Berthold; Petit, Arnaud; Pflumio, Francoise; Schwaller, Juerg; Mercher, Thomas								Ontogenic Changes in Hematopoietic Hierarchy Determine Pediatric Specificity and Disease Phenotype in Fusion Oncogene-Driven Myeloid Leukemia								CANCER DISCOVERY				9	12			1736	1753		10.1158/2159-8290.CD-18-1463			DEC 2019	2019										1							WOS:000500270700026		
J	Santiago Ibanez-Cabellos, Jose; Seco-Cervera, Marta; Osca-Verdegal, Rebeca; Pallardo, Federico V.; Luis Garcia-Gimenez, Jose								Epigenetic Regulation in the Pathogenesis of Sjogren Syndrome and Rheumatoid Arthritis								FRONTIERS IN GENETICS				10						1104	10.3389/fgene.2019.01104			NOV 13 2019	2019										0							WOS:000499486000001		
J	Lewandowski, Jordan P.; Lee, James C.; Hwang, Taeyoung; Sunwoo, Hongjae; Goldstein, Jill M.; Groff, Abigail F.; Chang, Nydia P.; Mallard, William; Williams, Adam; Henao-Meija, Jorge; Flavell, Richard A.; Lee, Jeannie T.; Gerhardinger, Chiara; Wagers, Amy J.; Rinn, John L.								The Firre locus produces a trans-acting RNA molecule that functions in hematopoiesis								NATURE COMMUNICATIONS				10						5137	10.1038/s41467-019-12970-4			NOV 13 2019	2019										1							WOS:000496125400006		
J	Peshkova, Iuliia O.; Aghayev, Turan; Fatkhullina, Aliia R.; Makhov, Petr; Titerina, Elizaveta K.; Eguchi, Satoru; Tan, Yin Fei; Kossenkov, Andrew, V; Khoreva, Marina, V; Gankovskaya, Lyudmila, V; Sykes, Stephen M.; Koltsova, Ekaterina K.								IL-27 receptor-regulated stress myelopoiesis drives abdominal aortic aneurysm development								NATURE COMMUNICATIONS				10						5046	10.1038/s41467-019-13017-4			NOV 6 2019	2019										0							WOS:000494635900007		
J	Godoy-Parejo, Carlos; Deng, Chunhao; Zhang, Yumeng; Liu, Weiwei; Chen, Guokai								Roles of vitamins in stem cells								CELLULAR AND MOLECULAR LIFE SCIENCES											10.1007/s00018-019-03352-6				2019										0							WOS:000493632700001		
J	Popescu, Dorin-Mirel; Botting, Rachel A.; Stephenson, Emily; Green, Kile; Webb, Simone; Jardine, Laura; Calderbank, Emily F.; Polanski, Krzysztof; Goh, Issac; Efremova, Mirjana; Acres, Meghan; Maunder, Daniel; Vegh, Peter; Gitton, Yorick; Park, Jong-Eun; Vento-Tormo, Roser; Miao, Zhichao; Dixon, David; Rowell, Rachel; McDonald, David; Fletcher, James; Poyner, Elizabeth; Reynolds, Gary; Mather, Michael; Moldovan, Corina; Mamanova, Lira; Greig, Frankie; Young, Matthew D.; Meyer, Kerstin B.; Lisgo, Steven; Bacardit, Jaume; Fuller, Andrew; Millar, Ben; Innes, Barbara; Lindsay, Susan; Stubbington, Michael J. T.; Kowalczyk, Monika S.; Li, Bo; Ashenberg, Orr; Tabaka, Marcin; Dionne, Danielle; Tickle, Timothy L.; Slyper, Michal; Rozenblatt-Rosen, Orit; Filby, Andrew; Carey, Peter; Villani, Alexandra-Chloe; Roy, Anindita; Regev, Aviv; Chedotal, Alain; Roberts, Irene; Gottgens, Berthold; Behjati, Sam; Laurenti, Elisa; Teichmann, Sarah A.; Haniffa, Muzlifah								Decoding human fetal liver haematopoiesis								NATURE				574	7778			365	+		10.1038/s41586-019-1652-y			OCT 17 2019	2019										1							WOS:000490988300057		
J	Eich, Marcus; Trumpp, Andreas; Schmitt, Steffen								OMIP-059: Identification of Mouse Hematopoietic Stem and Progenitor Cells with Simultaneous Detection of CD45.1/2 and Controllable Green Fluorescent Protein Expression by a Single Staining Panel								CYTOMETRY PART A				95	10			1049	1052		10.1002/cyto.a.23845			OCT 2019	2019										0							WOS:000490906200003		
J	Ramasz, Beata; Krueger, Anja; Reinhardt, Julia; Sinha, Anupam; Gerlach, Michael; Gerbaulet, Alexander; Reinhardt, Susanne; Dahl, Andreas; Chavakis, Triantafyllos; Wielockx, Ben; Grinenko, Tatyana								Hematopoietic stem cell response to acute thrombocytopenia requires signaling through distinct receptor tyrosine kinases								BLOOD				134	13			1046	1058		10.1182/blood.2019000721			SEP 26 2019	2019										0							WOS:000487932900009		
