PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Sibai, Mustafa; Altuntas, Ebru; Suzek, Baris Ethem; Sahin, Betul; Parlayan, Cuneyd; Ozturk, Gurkan; Baykal, Ahmet Tarik; Demircan, Turan								Comparison of protein expression profile of limb regeneration between neotenic and metamorphic axolotl								BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS				522	2			428	434		10.1016/j.bbrc.2019.11.118			FEB 5 2020	2020										0							WOS:000507492100023		
J	Xu, Huan; Dzhashiashvili, Yulia; Shah, Ankeeta; Kunjamma, Rejani B.; Weng, Yi-lan; Elbaz, Benayahu; Fei, Qili; Jones, Joshua S.; Li, Yang I.; Zhuang, Xiaoxi; Ming, Guo-Li; He, Chuan; Popko, Brian								m(6)A mRNA Methylation Is Essential for Oligodendrocyte Maturation and CNS Myelination								NEURON				105	2			293	+		10.1016/j.neuron.2019.12.013			JAN 22 2020	2020										0							WOS:000508633600012		
J	Rhodes, James D. P.; Feldmann, Angelika; Hernandez-Rodriguez, Benjamin; Diaz, Noelia; Brown, Jill M.; Fursova, Nadezda A.; Blackledge, Neil P.; Prathapan, Praveen; Dobrinic, Paula; Huseyin, Miles K.; Szczurek, Aleksander; Kruse, Kai; Nasmyth, Kim A.; Buckle, Veronica J.; Vaquerizas, Juan M.; Klose, Robert J.								Cohesin Disrupts Polycomb-Dependent Chromosome Interactions in Embryonic Stem Cells								CELL REPORTS				30	3			820	+		10.1016/j.celrep.2019.12.057			JAN 21 2020	2020										0							WOS:000508359200019		
J	Maros, Mate E.; Capper, David; Jones, David T. W.; Hovestadt, Volker; von Deimling, Andreas; Pfister, Stefan M.; Benner, Axel; Zucknick, Manuela; Sill, Martin								Machine learning workflows to estimate class probabilities for precision cancer diagnostics on DNA methylation microarray data								NATURE PROTOCOLS											10.1038/s41596-019-0251-6				2020										0							WOS:000508158600001		
J	French, Shawn; Guo, Amelia Bing Ya; Brown, Eric D.								A comprehensive guide to dynamic analysis of microbial gene expression using the 3D-printed PFIbox and a fluorescent reporter library								NATURE PROTOCOLS											10.1038/s41596-019-0257-0				2020										0							WOS:000508183200003		
J	Thomas, James D.; Polaski, Jacob T.; Feng, Qing; De Neef, Emma J.; Hoppe, Emma R.; McSharry, Maria V.; Pangallo, Joseph; Gabel, Austin M.; Belleville, Andrea E.; Watson, Jacqueline; Nkinsi, Naomi T.; Berger, Alice H.; Bradley, Robert K.								RNA isoform screens uncover the essentiality and tumor-suppressor activity of ultraconserved poison exons								NATURE GENETICS											10.1038/s41588-019-0555-z				2020										0							WOS:000508163500001		
J	Sheehan, Charles J.; McMahon, John J.; Serdar, Lucas D.; Silver, Debra L.								Dosage-dependent requirements of Magoh for cortical interneuron generation and survival								DEVELOPMENT				147	1					dev182295	10.1242/dev.182295			JAN 2020	2020										0							WOS:000507580100012		
J	Hoffmann, Jedrzej; Fiser, Karel; Liebetrau, Christoph; Staubach, Nora; Kost, David; Voss, Sandra; Heiden, Annkathrin zur; Doerr, Oliver; Lipps, Christoph; Nef, Holger M.; Moellmann, Helge; Hamm, Christian W.; Keller, Till; Troidl, Christian								High-Content Immunophenotyping and Hierarchical Clustering Reveal Sources of Heterogeneity and New Surface Markers of Human Blood Monocyte Subsets								THROMBOSIS AND HAEMOSTASIS				120	1			141	155		10.1055/s-0039-1700871			JAN 2020	2020										0							WOS:000507306200017		
J	Sibai, Mustafa; Parlayan, Cuneyd; Tuglu, Pelin; Ozturk, Gurkan; Demircan, Turan								Integrative Analysis of Axolotl Gene Expression Data from Regenerative and Wound Healing Limb Tissues								SCIENTIFIC REPORTS				9						20280	10.1038/s41598-019-56829-6			DEC 30 2019	2019										0							WOS:000508984700010		
J	Wu, Hao; Li, Lingyun; Chen, Kuan-Ming; Homolka, David; Gos, Pascal; Fleury-Olela, Fabienne; McCarthy, Andrew A.; Pillai, Ramesh S.								Decapping Enzyme NUDT12 Partners with BLMH for Cytoplasmic Surveillance of NAD-Capped RNAs								CELL REPORTS				29	13			4422	+		10.1016/j.celrep.2019.11.108			DEC 24 2019	2019										0							WOS:000504335700016		
J	Chaudhri, Virendra K.; Dienger-Stambaugh, Krista; Wu, Zhiguo; Shrestha, Mahesh; Singh, Harinder								Charting the cis-regulome of activated B cells by coupling structural and functional genomics								NATURE IMMUNOLOGY											10.1038/s41590-019-0565-0				2019										1							WOS:000507726700001		
J	Seillet, Cyril; Luong, Kylie; Tellier, Julie; Jacquelot, Nicolas; Shen, Rui Dong; Hickey, Peter; Wimmer, Verena C.; Whitehead, Lachlan; Rogers, Kelly; Smyth, Gordon K.; Garnham, Alexandra L.; Ritchie, Matthew E.; Belz, Gabrielle T.								The neuropeptide VIP confers anticipatory mucosal immunity by regulating ILC3 activity								NATURE IMMUNOLOGY											10.1038/s41590-019-0567-y				2019										1							WOS:000507726700002		
J	Morrow, Alyssa Kramer; He, George Zhixuan; Nothaft, Frank Austin; Tu, Eric Tongching; Paschall, Justin; Yosef, Nir; Joseph, Anthony Douglas								Mango: Exploratory Data Analysis for Large-Scale Sequencing Datasets								CELL SYSTEMS				9	6			609	+		10.1016/j.cels.2019.11.002			DEC 18 2019	2019										0							WOS:000503421500010		
J	Lopez-de la Rosa, Alberto; Fernandez, Itziar; Garcia-Vazquez, Carmen; Arroyo-del Arroyo, Cristina; Gonzalez-Garcia, Maria J.; Enriquez-de-Salamanca, Amalia								Conjunctival Neuropathic and Inflammatory Pain-Related Gene Expression with Contact Lens Wear and Discomfort								OCULAR IMMUNOLOGY AND INFLAMMATION											10.1080/09273948.2019.1690005				2019										0							WOS:000502184900001		
J	Corley, Susan M.; Troy, Niamh M.; Bosco, Anthony; Wilkins, Marc R.								QuantSeq. 3 ' Sequencing combined with Salmon provides a fast, reliable approach for high throughput RNA expression analysis								SCIENTIFIC REPORTS				9						18895	10.1038/s41598-019-55434-x			DEC 11 2019	2019										0							WOS:000502713700001		
J	Han, Edward Lau Yu; Han, Yu; Williams, Damon R.; Thomas, Cody T.; Shrestha, Rajani; Wu, Joseph C.; Lam, Maggie P. Y.								Splice-Junction-Based Mapping of Alternative Isoforms in the Human Proteome								CELL REPORTS				29	11			3751	+		10.1016/j.celrep.2019.11.026			DEC 10 2019	2019										0							WOS:000502113400031		
J	Berest, Ivan; Arnold, Christian; Reyes-Palomares, Armando; Palla, Giovanni; Rasmussen, Kasper Dindler; Giles, Holly; Bruch, Peter-Martin; Huber, Wolfgang; Dietrich, Sascha; Helin, Kristian; Zaugg, Judith B.								Quantification of Differential Transcription Factor Activity and Multiomics-Based Classification into Activators and Repressors: diffTF								CELL REPORTS				29	10			3147	+		10.1016/j.celrep.2019.10.106			DEC 3 2019	2019										0							WOS:000500822900020		
J	Francis, Michael; Cheng, Huimin; Ma, Ping; Grider, Arthur								Genomic Characterization of the Zinc Transcriptional Regulatory Element Reveals Potential Functional Roles of ZNF658								BIOLOGICAL TRACE ELEMENT RESEARCH				192	2			83	90		10.1007/s12011-019-1650-9			DEC 2019	2019										0							WOS:000509096200001		
J	Vallve-Juanico, Julia; Santamaria, Xavier; Vo, Kim Chi; Houshdaran, Sahar; Giudice, Linda C.								Macrophages display proinflammatory phenotypes in the eutopic endometrium of women with endometriosis with relevance to an infectious etiology of the disease								FERTILITY AND STERILITY				112	6			1118	1128		10.1016/j.fertnstert.2019.08.060			DEC 2019	2019										1							WOS:000502762700028		
J	Querques, Irma; Mades, Andreas; Zuliani, Cecilia; Miskey, Csaba; Alb, Miriam; Grueso, Esther; Machwirth, Markus; Rausch, Tobias; Einsele, Hermann; Ivics, Zoltan; Hudecek, Michael; Barabas, Orsolya								A highly soluble Sleeping Beauty transposase improves control of gene insertion								NATURE BIOTECHNOLOGY				37	12			1502	+		10.1038/s41587-019-0291-z			DEC 2019	2019										0							WOS:000500748900026		
J	Ghasemi, David R.; Sill, Martin; Okonechnikov, Konstantin; Korshunov, Andrey; Yip, Stephen; Schutz, Peter W.; Scheie, David; Kruse, Anders; Harter, Patrick N.; Kastelan, Marina; Wagner, Marlies; Hartmann, Christian; Benzel, Julia; Maass, Kendra K.; Khasraw, Mustafa; Straeter, Ronald; Thomas, Christian; Paulus, Werner; Kratz, Christian P.; Witt, Hendrik; Kawauchi, Daisuke; Herold-Mende, Christel; Sahm, Felix; Brandner, Sebastian; Kool, Marcel; Jones, David T. W.; von Deimling, Andreas; Pfister, Stefan M.; Reuss, David E.; Pajtler, Kristian W.								MYCN amplification drives an aggressive form of spinal ependymoma								ACTA NEUROPATHOLOGICA				138	6			1075	1089		10.1007/s00401-019-02056-2			DEC 2019	2019										0							WOS:000496124600010		
J	Sivaprakasam, Balamurugan; Sadagopan, Prasanna								Development of an Interactive Web Application "Shiny App for Frequency Analysis on Homo sapiens Genome (SAFA-HsG)"								INTERDISCIPLINARY SCIENCES-COMPUTATIONAL LIFE SCIENCES				11	4			723	729		10.1007/s12539-019-00340-z			DEC 2019	2019										0							WOS:000495241700014		
J	Hicks, Stephanie C.; Irizarry, Rafael A.								methylCC: technology-independent estimation of cell type composition using differentially methylated regions								GENOME BIOLOGY				20	1					261	10.1186/s13059-019-1827-8			NOV 29 2019	2019										0							WOS:000499963600003		
J	Ding, Chao; Scicluna, Brendon P.; Stroo, Ingrid; Yang, Jack; Roelofs, Joris J. T. H.; de Boer, Onno J.; de Vos, Alex F.; Nuernberg, Peter; Revenko, Alexey S.; Crosby, Jeff; van't Veer, Cornelis; van der Poll, Tom								Prekallikrein inhibits innate immune signaling in the lung and impairs host defense during pneumosepsis in mice								JOURNAL OF PATHOLOGY											10.1002/path.5354				2019										0							WOS:000498412500001		
