PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Kong, Shuangbo; Zhou, Chan; Bao, Haili; Ni, Zhangli; Liu, Mengying; He, Bo; Huang, Lin; Sun, Yang; Wang, Haibin; Lu, Jinhua								Epigenetic control of embryo-uterine crosstalk at peri-implantation								CELLULAR AND MOLECULAR LIFE SCIENCES				76	24			4813	4828		10.1007/s00018-019-03245-8			DEC 2019	2019										0							WOS:000499831900001		
J	Hu, Xiao; Eastman, Anna E.; Guo, Shangqin								Cell cycle dynamics in the reprogramming of cellular identity								FEBS LETTERS				593	20			2840	2852		10.1002/1873-3468.13625			OCT 2019	2019										1							WOS:000489268300001		
J	D'Aniello, Cristina; Cermola, Federica; Patriarca, Eduardo J.; Minchiotti, Gabriella								Metabolic-Epigenetic Axis in Pluripotent State Transitions								EPIGENOMES				3	3					13	10.3390/epigenomes3030013			SEP 2019	2019										0							WOS:000488110500008		
J	Nakanoh, Shota; Agata, Kiyokazu								Evolutionary view of pluripotency seen from early development of non-mammalian amniotes								DEVELOPMENTAL BIOLOGY				452	2			95	103		10.1016/j.ydbio.2019.04.014			AUG 15 2019	2019										0							WOS:000473375100004		
J	He, Bo; Zhang, Hangxiao; Wang, Jianqi; Liu, Mengying; Sun, Yang; Guo, Chuanhui; Lu, Jinhua; Wang, Haibin; Kong, Shuangbo								Blastocyst activation engenders transcriptome reprogram affecting X-chromosome reactivation and inflammatory trigger of implantation								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				116	33			16621	16630		10.1073/pnas.1900401116			AUG 13 2019	2019										1							WOS:000481404300070		
J	Hsu, Jenny; Arand, Julia; Chaikovsky, Andrea; Mooney, Nancie A.; Demeter, Janos; Brison, Caileen M.; Oliverio, Romane; Vogel, Hannes; Rubin, Seth M.; Jackson, Peter K.; Sage, Julien								E2F4 regulates transcriptional activation in mouse embryonic stem cells independently of the RB family								NATURE COMMUNICATIONS				10						2939	10.1038/s41467-019-10901-x			JUL 3 2019	2019										0							WOS:000473622200009		
J	Krishna, Srikar; Yim, Daniel G. R.; Lakshmanan, Vairavan; Tirumalai, Varsha; Koh, Judice L. Y.; Park, Jung Eun; Cheong, Jit Kong; Low, Joo Leng; Lim, Michelle J. S.; Sze, Siu Kwan; Shivaprasad, Padubidri; Gulyani, Akash; Raghavan, Srikala; Palakodeti, Dasaradhi; DasGupta, Ramanuj								Dynamic expression of tRNA-derived small RNAs define cellular states								EMBO REPORTS				20	7					UNSP e47789	10.15252/embr.201947789			JUL 2019	2019										4							WOS:000474489700008		
J	Singh, Kamini; Lin, Jianan; Zhong, Yi; Burcul, Antonija; Mohan, Prathibha; Jiang, Man; Sun, Liping; Yong-GonzaLez, Vladimir; Viale, Agnes; Cross, Justin R.; Hendrickson, Ronald C.; Raetsch, Gunnar; Ouyang, Zhengqing; Wendel, Hans-Guido								c-MYC regulates mRNA translation efficiency and start-site selection in lymphoma								JOURNAL OF EXPERIMENTAL MEDICINE				216	7			1509	1524		10.1084/jem.20181726			JUL 2019	2019										1							WOS:000473325900007		
J	van der Weijden, V. A.; Bick, J. T.; Bauersachs, S.; Arnold, G. J.; Froehlich, T.; Drews, B.; Ulbrich, S. E.								Uterine fluid proteome changes during diapause and resumption of embryo development in roe deer (Capreolus capreolus)								REPRODUCTION				158	1			13	24		10.1530/REP-19-0022			JUL 2019	2019										0							WOS:000466887200005		
J	Seruggia, Davide; Oti, Martin; Tripathi, Pratibha; Canver, Matthew C.; LeBlanc, Lucy; Di Giammartino, Dafne C.; Bullen, Michael J.; Nefzger, Christian M.; Sun, Yu Bo Yang; Farouni, Rick; Polo, Jose M.; Pinello, Luca; Apostolou, Effie; Kim, Jonghwan; Orkin, Stuart H.; Das, Partha Pratim								TAF5L and TAF6L Maintain Self-Renewal of Embryonic Stem Cells via the MYC Regulatory Network								MOLECULAR CELL				74	6			1148	+		10.1016/j.molcel.2019.03.025			JUN 20 2019	2019										1							WOS:000472231600007		
J	Fenelon, Jane C.; Murphy, Bruce D.								New functions for old factors: the role of polyamines during the establishment of pregnancy								REPRODUCTION FERTILITY AND DEVELOPMENT				31	7			1228	1239		10.1071/RD18235			JUN 2019	2019										0							WOS:000472645300003		
J	Hartl, Markus; Glasauer, Stella; Gufler, Sabine; Raffeiner, Andrea; Puglisi, Kane; Breuker, Kathrin; Bister, Klaus; Hobmayer, Bert								Differential regulation of myc homologs by Wnt/beta-Catenin signaling in the early metazoan Hydra								FEBS JOURNAL				286	12			2295	2310		10.1111/febs.14812			JUN 2019	2019										0							WOS:000471820500005		
J	Kamemizu, Chizuru; Fujimori, Toshihiko								Distinct dormancy progression depending on embryonic regions during mouse embryonic diapause								BIOLOGY OF REPRODUCTION				100	5			1204	1214		10.1093/biolre/ioz017			MAY 2019	2019										0							WOS:000481418300009		
J	Francesconi, Mirko; Di Stefano, Bruno; Berenguer, Clara; de Andres-Aguayo, Luisa; Plana-Carmona, Marcos; Mendez-Lago, Maria; Guillaumet-Adkins, Amy; Rodriguez-Esteban, Gustavo; Gut, Marta; Gut, Ivo G.; Heyn, Holger; Lehner, Ben; Graf, Thomas								Single cell RNA-seq identifies the origins of heterogeneity in efficient cell transdifferentiation and reprogramming								ELIFE				8						e41627	10.7554/eLife.41627			MAR 12 2019	2019										2							WOS:000462530000001		
J	Hassani, Seyedeh-Nafiseh; Moradi, Sharif; Taleahmad, Sara; Braun, Thomas; Baharvand, Hossein								Transition of inner cell mass to embryonic stem cells: mechanisms, facts, and hypotheses								CELLULAR AND MOLECULAR LIFE SCIENCES				76	5			873	892		10.1007/s00018-018-2965-y			MAR 2019	2019										5							WOS:000459993300004		
J	Villegas, Florian; Lehalle, Daphne; Mayer, Daniela; Rittirsch, Melanie; Stadler, Michael B.; Zinner, Marietta; Olivieri, Daniel; Vabres, Pierre; Duplomb-Jego, Laurence; De Bont, Eveline S. J. M.; Duffourd, Yannis; Duijkers, Floor; Avila, Magali; Genevieve, David; Houcinat, Nada; Jouan, Thibaud; Kuentz, Paul; Lichtenbelt, Klaske D.; Thauvin-Robinet, Christel; St-Onge, Judith; Thevenon, Julien; van Gassen, Koen L. I.; van Haelst, Mieke; van Koningsbruggen, Silvana; Hess, Daniel; Smallwood, Sebastien A.; Riviere, Jean-Baptiste; Faivre, Laurence; Betschinger, Joerg								Lysosomal Signaling Licenses Embryonic Stem Cell Differentiation via Inactivation of Tfe3								CELL STEM CELL				24	2			257	+		10.1016/j.stem.2018.11.021			FEB 7 2019	2019										14							WOS:000458027300012		
J	Zviran, Asaf; Mor, Nofar; Rais, Yoach; Gingold, Hila; Peles, Shani; Chomsky, Elad; Viukov, Sergey; Buenrostro, Jason D.; Scognamiglio, Roberta; Weinberger, Leehee; Manor, Yair S.; Krupalnik, Vladislav; Zerbib, Mirie; Hezroni, Hadas; Jaitin, Diego Adhemar; Larastiaso, David; Gilad, Shlomit; Benjamin, Sima; Gafni, Ohad; Mousa, Awni; Ayyash, Muneef; Sheban, Daoud; Bayerl, Jonathan; Aguilera-Castrejon, Alejandro; Massarwa, Rada; Maza, Itay; Hanna, Suhair; Stelzer, Yonatan; Ulitsky, Igor; Greenleaf, William J.; Tanay, Amos; Trumpp, Andreas; Amit, Ido; Pilpel, Yitzhak; Novershtern, Noa; Hanna, Jacob H.								Deterministic Somatic Cell Reprogramming Involves Continuous Transcriptional Changes Governed by Myc and Epigenetic-Driven Modules								CELL STEM CELL				24	2			328	+		10.1016/j.stem.2018.11.014			FEB 7 2019	2019										5							WOS:000458027300018		
J	Intlekofer, Andrew M.; Finley, Lydia W. S.								Metabolic signatures of cancer cells and stem cells								NATURE METABOLISM				1	2			177	188		10.1038/s42255-019-0032-0			FEB 2019	2019										8							WOS:000500728400003		
J	San Jose, Lorena Hidalgo; Signer, Robert A. J.								Cell-type-specific quantification of protein synthesis in vivo								NATURE PROTOCOLS				14	2			441	460		10.1038/s41596-018-0100-z			FEB 2019	2019										3							WOS:000457108600006		
J	Thier, Marc Christian; Hommerding, Oliver; Panten, Jasper; Pinna, Roberta; Garcia-Gonzalez, Diego; Berger, Thomas; Woersdoefer, Philipp; Assenov, Yassen; Scognamiglio, Roberta; Przybylla, Adriana; Kaschutnig, Paul; Becker, Lisa; Milsom, Michael D.; Jauch, Anna; Utikal, Jochen; Herrmann, Carl; Monyer, Hannah; Edenhofer, Frank; Trumpp, Andreas								Identification of Embryonic Neural Plate Border Stem Cells and Their Generation by Direct Reprogramming from Adult Human Blood Cells								CELL STEM CELL				24	1			166	+		10.1016/j.stem.2018.11.015			JAN 3 2019	2019										3							WOS:000454836900017		
J	Karagiannis, Peter; Takahashi, Kazutoshi; Saito, Megumu; Yoshida, Yoshinori; Okita, Keisuke; Watanabe, Akira; Inoue, Haruhisa; Yamashita, Jun K.; Todani, Masaya; Nakagawa, Masato; Osawa, Mitsujiro; Yashiro, Yoshimi; Yamanaka, Shinya; Osafune, Kenji								INDUCED PLURIPOTENT STEM CELLS AND THEIR USE IN HUMAN MODELS OF DISEASE AND DEVELOPMENT								PHYSIOLOGICAL REVIEWS				99	1			79	114		10.1152/physrev.00039.2017			JAN 2019	2019										11							WOS:000455899500003		
J	Prieto, Javier; Seo, Arnold Y.; Leon, Marian; Santacatterina, Fulvio; Torresano, Laura; Palomino-Schatzlein, Martina; Gimenez, Karen; Vallet-Sanchez, Azahara; Ponsoda, Xavier; Pineda-Lucena, Antonio; Cuezva, Jose Prime M.; Lippincott-Schwartz, Jennifer; Torres, Josema								MYC Induces a Hybrid Energetics Program Early in Cell Reprogramming								STEM CELL REPORTS				11	6			1479	1492		10.1016/j.stemcr.2018.10.018			DEC 11 2018	2018										2							WOS:000452898300018		
J	Deng, Liang; Li, Chunjin; Chen, Lu; Liu, Yuliang; Hou, Rong; Zhou, Xu								Research advances on embryonic diapause in mammals								ANIMAL REPRODUCTION SCIENCE				198				1	10		10.1016/j.anireprosci.2018.09.009			NOV 2018	2018										1							WOS:000449567400001		
J	Bhawe, Kaumudi; Roy, Deodutta								Interplay between NRF1, E2F4 and MYC transcription factors regulating common target genes contributes to cancer development and progression								CELLULAR ONCOLOGY				41	5			465	484		10.1007/s13402-018-0395-3			OCT 2018	2018										7							WOS:000444812800001		
J	Grace, Clea S.; Mikkola, Hanna K. A.; Dou, Diana R.; Calvanese, Vincenzo; Ronn, Roger E.; Purton, Louise E.								Protagonist or antagonist? The complex roles of retinoids in the regulation of hematopoietic stem cells and their specification from pluripotent stem cells								EXPERIMENTAL HEMATOLOGY				65				1	16		10.1016/j.exphem.2018.06.287			SEP 2018	2018										2							WOS:000444783300001		
J	Miyagi-Shiohira, Chika; Nakashima, Yoshiki; Kobayashi, Naoya; Saitoh, Issei; Watanabe, Masami; Noguchi, Hirofumi								Characterization of induced tissue-specific stem cells from pancreas by a synthetic self-replicative RNA								SCIENTIFIC REPORTS				8						12341	10.1038/s41598-018-30784-0			AUG 17 2018	2018										4							WOS:000441876700044		
J	Shahbazi, Marta N.; Zernicka-Goetz, Magdalena								Deconstructing and reconstructing the mouse and human early embryo								NATURE CELL BIOLOGY				20	8			878	887		10.1038/s41556-018-0144-x			AUG 2018	2018										17							WOS:000440057000007		
J	Campbell, Amy E.; Belleville, Andrea E.; Resnick, Rebecca; Shadle, Sean C.; Tapscott, Stephen J.								Facioscapulohumeral dystrophy: activating an early embryonic transcriptional program in human skeletal muscle								HUMAN MOLECULAR GENETICS				27	R2			R153	R162		10.1093/hmg/ddy162			AUG 1 2018	2018										5							WOS:000440946500008		
J	Yoshida, Go J.								Emerging roles of Myc in stem cell biology and novel tumor therapies								JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH				37						173	10.1186/s13046-018-0835-y			JUL 27 2018	2018										26							WOS:000439987200003		
J	Mastromina, Ioanna; Verrier, Laure; Silva, Joana Clara; Storey, Kate G.; Dale, J. Kim								Myc activity is required for maintenance of the neuromesodermal progenitor signalling network and for segmentation clock gene oscillations in mouse								DEVELOPMENT				145	14					UNSP dev161091	10.1242/dev.161091			JUL 15 2018	2018										4							WOS:000440421300006		
J	Fenelon, Jane C.; Renfree, Marilyn B.								The history of the discovery of embryonic diapause in mammals								BIOLOGY OF REPRODUCTION				99	1			242	251		10.1093/biolre/ioy112			JUL 2018	2018										5							WOS:000446329200019		
J	Chau, Kevin F.; Shannon, Morgan L.; Fame, Ryann M.; Fonseca, Erin; Mullan, Hillary; Johnson, Matthew B.; Sendamarai, Anoop K.; Springel, Mark W.; Laurent, Benoit; Lehtinen, Maria K.								Downregulation of ribosome biogenesis during early forebrain development								ELIFE				7						e36998	10.7554/eLife.36998			MAY 10 2018	2018										6							WOS:000433897300001		
J	Bowling, Sarah; Di Gregorio, Aida; Sancho, Margarida; Pozzi, Sara; Aarts, Marieke; Signore, Massimo; Schneider, Michael D.; Barbera, Juan Pedro Martinez; Gil, Jesus; Rodriguez, Tristan A.								P53 and mTOR signalling determine fitness selection through cell competition during early mouse embryonic development								NATURE COMMUNICATIONS				9						1763	10.1038/s41467-018-04167-y			MAY 2 2018	2018										13							WOS:000431206400004		
J	Corsini, Nina S.; Peer, Angela M.; Moeseneder, Paul; Roiuk, Mykola; Burkard, Thomas R.; Theussl, Hans-Christian; Moll, Isabella; Knoblich, Juergen A.								Coordinated Control of mRNA and rRNA Processing Controls Embryonic Stem Cell Pluripotency and Differentiation								CELL STEM CELL				22	4			543	+		10.1016/j.stem.2018.03.002			APR 5 2018	2018										1							WOS:000429320900013		
J	Kishi, Shingo; Fujiwara-Tani, Rina; Luo, Yi; Kawahara, Isao; Goto, Kei; Fujii, Kiyomu; Ohmori, Hitoshi; Nakashima, Chie; Sasaki, Takamitsu; Kuniyasu, Hiroki								Pro-metastatic signaling of the trans fatty acid elaidic acid is associated with lipid rafts								ONCOLOGY LETTERS				15	4			4423	4426		10.3892/ol.2018.7817			APR 2018	2018										1							WOS:000430822500050		
J	Keller, Alexander; Dziedzicka, Dominika; Zambelli, Filippo; Markouli, Christina; Sermon, Karen; Spits, Claudia; Geens, Mieke								Genetic and epigenetic factors which modulate differentiation propensity in human pluripotent stem cells								HUMAN REPRODUCTION UPDATE				24	2			162	175		10.1093/humupd/dmx042			MAR-APR 2018	2018										5							WOS:000426840500003		
J	Bulut-Karslioglu, Aydan; Macrae, Trisha A.; Oses-Prieto, Juan A.; Covarrubias, Sergio; Percharde, Michelle; Ku, Gregory; Diaz, Aaron; McManus, Michael T.; Burlingame, Alma L.; Ramalho-Santos, Miguel								The Transcriptionally Permissive Chromatin State of Embryonic Stem Cells Is Acutely Tuned to Translational Output								CELL STEM CELL				22	3			369	+		10.1016/j.stem.2018.02.004			MAR 1 2018	2018										8							WOS:000426471000016		
J	Chiu, Anthony C.; Suzuki, Hiroshi I.; Wu, Xuebing; Mahat, Dig B.; Kriz, Andrea J.; Sharp, Phillip A.								Transcriptional Pause Sites Delineate Stable Nucleosome-Associated Premature Polyadenylation Suppressed by U1 snRNP								MOLECULAR CELL				69	4			648	+		10.1016/j.molcel.2018.01.006			FEB 15 2018	2018										20							WOS:000425281300011		
J	Zhang, Jin; Zhao, Jing; Dahan, Perrine; Lu, Vivian; Zhang, Cheng; Li, Hu; Teitell, Michael A.								Metabolism in Pluripotent Stem Cells and Early Mammalian Development								CELL METABOLISM				27	2			332	338		10.1016/j.cmet.2018.01.008			FEB 6 2018	2018										9							WOS:000424465200009		
J	de Jaime-Soguero, Anchel; de Oliveira, Willy Antoni Abreu; Lluis, Frederic								The Pleiotropic Effects of the Canonical Wnt Pathway in Early Development and Pluripotency								GENES				9	2					93	10.3390/genes9020093			FEB 2018	2018										11							WOS:000427518700039		
J	Burrows, Kyle; Antignano, Frann; Chenery, Alistair; Bramhall, Michael; Korinek, Vladimir; Underhill, T. Michael; Zaph, Colby								HIC1 links retinoic acid signalling to group 3 innate lymphoid cell-dependent regulation of intestinal immunity and homeostasis								PLOS PATHOGENS				14	2					e1006869	10.1371/journal.ppat.1006869			FEB 2018	2018										2							WOS:000426477000025		
J	Aguirre-Ghiso, Julio A.; Sosa, Maria Soledad								Emerging Topics on Disseminated Cancer Cell Dormancy and the Paradigm of Metastasis								Annual Review of Cancer Biology-Series				2				377	393		10.1146/annurev-cancerbio-030617-050446			2018	2018										12							WOS:000462706100020		
J	Carlini, Maria Jose; Shrivastava, Nitisha; Sosa, Maria Soledad								Epigenetic and Pluripotency Aspects of Disseminated Cancer Cells During Minimal Residual Disease								Advances in Experimental Medicine and Biology				1100				1	18		10.1007/978-3-319-97746-1_1			2018	2018										0							WOS:000457972100002		
J	Matson, Jacob Peter; Dumitru, Raluca; Coryell, Philip; Baxley, Ryan M.; Chen, Weili; Twaroski, Kirk; Webber, Beau R.; Tolar, Jakub; Bielinsky, Anja-Katrin; Purvis, Jeremy E.; Cook, Jeanette Gowen								Rapid DNA replication origin licensing protects stem cell pluripotency								ELIFE				6						e30473	10.7554/eLife.30473			NOV 17 2017	2017										16							WOS:000417514100001		
J	ter Huurne, Menno; Chappell, James; Dalton, Stephen; Stunnenberg, Hendrik G.								Distinct Cell-Cycle Control in Two Different States of Mouse Pluripotency								CELL STEM CELL				21	4			449	+		10.1016/j.stem.2017.09.004			OCT 5 2017	2017										9							WOS:000412344700009		
J	Habibi, Ehsan; Stunnenberg, Hendrik G.								Transcriptional and epigenetic control in mouse pluripotency: lessons from in vivo and in vitro studies								CURRENT OPINION IN GENETICS & DEVELOPMENT				46				114	122		10.1016/j.gde.2017.07.005			OCT 2017	2017										6							WOS:000411955300015		
J	Diaz-Diaz, Covadonga; Fernandez de Manuel, Laura; Jimenez-Carretero, Daniel; Concepcion Montoya, Maria; Claveria, Cristina; Torres, Miguel								Pluripotency Surveillance by Myc-Driven Competitive Elimination of Differentiating Cells								DEVELOPMENTAL CELL				42	6			585	+		10.1016/j.devcel.2017.08.011			SEP 25 2017	2017										19							WOS:000411582800008		
J	Renfree, Marilyn B.; Fenelon, Jane C.								The enigma of embryonic diapause								DEVELOPMENT				144	18			3199	3210		10.1242/dev.148213			SEP 15 2017	2017										10							WOS:000411081100003		
J	Bahr, Carsten; Correia, Nadia C.; Trumpp, Andreas								Stem cells make leukemia grow again								EMBO JOURNAL				36	18			2667	2669		10.15252/embj.201797773			SEP 15 2017	2017										1							WOS:000410763900003		
J	Ruan, Yan; He, Jianrong; Wu, Wei; He, Ping; Tian, Yanping; Xiao, Lan; Liu, Gaoke; Wang, Jiali; Cheng, Yuda; Zhang, Shuo; Yang, Yi; Xiong, Jiaxiang; Zhao, Ke; Wan, Ying; Huang, He; Zhang, Junlei; Jian, Rui								Nac1 promotes self-renewal of embryonic stem cells through direct transcriptional regulation of c-Myc								ONCOTARGET				8	29			47607	47618		10.18632/oncotarget.17744			JUL 18 2017	2017										3							WOS:000405694000075		
J	Betschinger, Joerg								Charting Developmental Dissolution of Pluripotency								JOURNAL OF MOLECULAR BIOLOGY				429	10			1441	1458		10.1016/j.jmb.2016.12.017			MAY 19 2017	2017										4							WOS:000403028200002		
J	Cabezas-Wallscheid, Nina; Buettner, Florian; Sommerkamp, Pia; Klimmeck, Daniel; Ladel, Luisa; Thalheimer, Frederic B.; Pastor-Flores, Daniel; Roma, Leticia P.; Renders, Simon; Zeisberger, Petra; Przybylla, Adriana; Schoenberger, Katharina; Scognamiglio, Roberta; Altamura, Sandro; Florian, Carolina M.; Fawaz, Malak; Vonficht, Dominik; Tesio, Melania; Collier, Paul; Pavlinic, Dinko; Geiger, Hartmut; Schroeder, Timm; Benes, Vladimir; Dick, Tobias P.; Rieger, Michael A.; Stegle, Oliver; Trumpp, Andreas								Vitamin A-Retinoic Acid Signaling Regulates Hematopoietic Stem Cell Dormancy								CELL				169	5			807	+		10.1016/j.cell.2017.04.018			MAY 18 2017	2017										87							WOS:000401515900008		
J	Manjili, Masoud H.								Tumor Dormancy and Relapse: From a Natural Byproduct of Evolution to a Disease State								CANCER RESEARCH				77	10			2564	2569		10.1158/0008-5472.CAN-17-0068			MAY 15 2017	2017										28							WOS:000401252900002		
