PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Hekselman, Idan; Yeger-Lotem, Esti								Mechanisms of tissue and cell-type specificity in heritable traits and diseases								NATURE REVIEWS GENETICS											10.1038/s41576-019-0200-9				2020										0							WOS:000508152300001		
J	Band, Gavin; Le, Quang Si; Clarke, Geraldine M.; Kivinen, Katja; Hubbart, Christina; Jeffreys, Anna E.; Rowlands, Kate; Leffler, Ellen M.; Jallow, Muminatou; Conway, David J.; Sisay-Joof, Fatoumatta; Sirugo, Giorgio; d'Alessandro, Umberto; Toure, Ousmane B.; Thera, Mahamadou A.; Konate, Salimata; Sissoko, Sibiri; Mangano, Valentina D.; Bougouma, Edith C.; Sirima, Sodiomon B.; Amenga-Etego, Lucas N.; Ghansah, Anita K.; Hodgson, Abraham V. O.; Wilson, Michael D.; Enimil, Anthony; Ansong, Daniel; Evans, Jennifer; Ademola, Subulade A.; Apinjoh, Tobias O.; Ndila, Carolyne M.; Manjurano, Alphaxard; Drakeley, Chris; Reyburn, Hugh; Nguyen Hoan Phu; Nguyen Thi Ngoc Quyen; Cao Quang Thai; Tran Tinh Hien; Teo, Yik Ying; Manning, Laurens; Laman, Moses; Michon, Pascal; Karunajeewa, Harin; Siba, Peter; Allen, Steve; Allen, Angela; Bahlo, Melanie; Davis, Timothy M. E.; Simpson, Victoria; Shelton, Jennifer; Spencer, Chris C. A.; Busby, George B. J.; Kerasidou, Angeliki; Drury, Eleanor; Stalker, Jim; Dilthey, Alexander; Mentzer, Alexander J.; McVean, Gil; Bojang, Kalifa A.; Doumbo, Ogobara; Modiano, David; Koram, Kwadwo A.; Agbenyega, Tsiri; Amodu, Olukemi K.; Achidi, Eric; Williams, Thomas N.; Marsh, Kevin; Riley, Eleanor M.; Molyneux, Malcolm; Taylor, Terrie; Dunstan, Sarah J.; Farrar, Jeremy; Mueller, Ivo; Rockett, Kirk A.; Kwiatkowski, Dominic P.		Malaria Genomic Epidemiology Net						Insights into malaria susceptibility using genome-wide data on 17,000 individuals from Africa, Asia and Oceania								NATURE COMMUNICATIONS				10						5732	10.1038/s41467-019-13480-z			DEC 16 2019	2019										0							WOS:000502769900001		
J	Fiszbein, Ana; Krick, Keegan S.; Begg, Bridget E.; Burge, Christopher B.								Exon-Mediated Activation of Transcription Starts								CELL				179	7			1551	+		10.1016/j.cell.2019.11.002			DEC 12 2019	2019										1							WOS:000502546200013		
J	Wei, Wu; Hennig, Bianca P.; Wang, Jingwen; Zhang, Yujie; Piazza, Ilaria; Sanchez, Yerma Pareja; Chabbert, Christophe D.; Adjalley, Sophie H.; Steinmetz, Lars M.; Pelechano, Vicent								Chromatin-sensitive cryptic promoters putatively drive expression of alternative protein isoforms in yeast								GENOME RESEARCH				29	12			1974	1984		10.1101/gr.243378.118			DEC 2019	2019										0							WOS:000500554200005		
J	Furlanis, Elisabetta; Traunmueller, Lisa; Fucile, Geoffrey; Scheiffele, Peter								Landscape of ribosome-engaged transcript isoforms reveals extensive neuronal-cell-class-specific alternative splicing programs								NATURE NEUROSCIENCE				22	10			1709	+		10.1038/s41593-019-0465-5			OCT 2019	2019										3							WOS:000493396200021		
J	Gruber, Andreas J.; Zavolan, Mihaela								Alternative cleavage and polyadenylation in health and disease								NATURE REVIEWS GENETICS				20	10			599	614		10.1038/s41576-019-0145-z			OCT 2019	2019										1							WOS:000487297600007		
J	Demircioglu, Deniz; Cukuroglu, Engin; Kindermans, Martin; Nandi, Tannistha; Calabrese, Claudia; Fonseca, Nuno A.; Kahles, Andre; Kjong-Van Lehmann; Stegle, Oliver; Brazma, Alvis; Brooks, Angela N.; Ratsch, Gunnar; Tan, Patrick; Goke, Jonathan								A Pan-cancer Transcriptome Analysis Reveals Pervasive Regulation through Alternative Promoters								CELL				178	6			1465	+		10.1016/j.cell.2019.08.018			SEP 5 2019	2019										1							WOS:000483983000019		
J	McCartney, Ann M.; Hyland, Edel M.; Cormican, Paul; Moran, Raymond J.; Webb, Andrew E.; Lee, Kate D.; Hernandez-Rodriguez, Jessica; Prado-Martinez, Javier; Creevey, Christopher J.; Aspden, Julie L.; McInerney, James O.; Marques-Bonet, Tomas; O'Connell, Mary J.								Gene Fusions Derived by Transcriptional Readthrough are Driven by Segmental Duplication in Human								GENOME BIOLOGY AND EVOLUTION				11	9			2678	2690		10.1093/gbe/evz163			SEP 2019	2019										1							WOS:000491234700019		
J	Gomes Ferreira, Monique Drielle; Castro, Jacqueline Araujo; Santana Silva, Raner Jose; Micheli, Fabienne								HVA22 from citrus: A small gene family whose some members are involved in plant response to abiotic stress								PLANT PHYSIOLOGY AND BIOCHEMISTRY				142				395	404		10.1016/j.plaphy.2019.08.003			SEP 2019	2019										0							WOS:000487569200041		
J	Li, Jingyi Jessica; Chew, Guo-Liang; Biggin, Mark Douglas								Quantitative principles of cis-translational control by general mRNA sequence features in eukaryotes								GENOME BIOLOGY				20	1					162	10.1186/s13059-019-1761-9			AUG 9 2019	2019										1							WOS:000480563300004		
